,Trained-Tested,Accuracy,Precision,Recall,F1-Score
0,DE-DE,0.7054116656138134,0.7006008868392568,0.7054116656138134,0.7007285532383143
1,EN-EN,0.7030592197586304,0.7065369073513909,0.7030592197586304,0.696779826801505
2,ES-ES,0.7074010327022375,0.7074010327022375,0.7074010327022375,0.5861730331464106
3,FR-FR,0.6312013433063655,0.6312013433063655,0.6312013433063655,0.4884928981044023
4,PT-PT,0.6542887029288703,0.6542887029288703,0.6542887029288703,0.5175562234359891
5,RU-RU,0.7548460661345496,0.7548460661345496,0.7548460661345496,0.6493932368824845
